;;;;;;
;;uid;i;q;sa;real_speaker
;58;1296114954056147968;119225;in the north African nation. German Foreign Minister <strong> Guido Westerwelle </strong> invoked Tunisia on Wednesday, saying the unrest in Egypt`` underlines the necessity of democratisation, of respect for human and civil rights.'' <q> We are seeing in the last few weeks that a country's stability is not endangered by granting civil rights. It is through the refusal of civil and human rights that societies become unstable, </q> he said. <strong> Laurent Gbagbo </strong>` must go for Africa's sake' If <strong> Laurent Gbagbo </strong> were to stay in power in Ivory Coast despite losing a presidential election, it would be a setback for the whole of Africa,;['Laurent Gbagbo', 'Guido Westerwelle'];Guido Westerwelle
;59;1295973186202047505;9876; But at least one prominent Republican said he was hoping politics don't get too staid.`` We can be more civil, but let's not lose our passion,'' <strong> U.S. Senator John McCain </strong> said Tuesday. <q> Some of my favourite debates were with a guy named <strong> Senator Ted Kennedy of Massachussetts </strong> who had passion like I haven't seen before or since. </q> Tea Party- will have rebuttals to <strong> President Barack Hussein Obama II </strong>'s address. Wisconsin congressman Paul <strong> Ryan Russell </strong>, chairman of the House of Representatives' budget committee, will provide the Republican response. <strong> Ryan Russell </strong> has advocated significant budget cuts,;['Senator Ted Kennedy of Massachussetts', 'Ryan Russell', 'U.S. Senator John McCain', 'President Barack Hussein Obama II'];
;60;1296402361053313554;3366;"slash money from the budget in the coming weeks.`` There's no limit to the amount of spending we're willing to cut,'' <strong> John Andrew Boehner </strong> said on`` Fox News Sunday'' this morning. <q> The American people want us to cut spending; they don't want more stimulus spending. </q> The GOP Speaker expressed dissatisfaction with <strong> President Barack Hussein Obama II </strong>'s State of the Union address from this past Tuesday, in which <strong> President Barack Hussein Obama II </strong> called for a five-year freeze in domestic discretionary spending, coupled with new investments in education,";['President Barack Hussein Obama II', 'John Andrew Boehner'];
;61;1296261114016809993;5044; NEW YORK( Reuters)- WikiLeaks founder <strong> Julian Paul Assange </strong> says he enjoys making banks squirm thinking they might be the next targets of his website which has published U.S. diplomatic and military secrets. <q> I think it's great. We have all these banks squirming, thinking maybe it's them, </q> <strong> Julian Paul Assange </strong> told the CBS television program`` 60 Minutes'' in an interview. CBS released a partial transcript on Friday ahead of Sunday's broadcast of the full segment. Bank of America Corp shares;['Julian Paul Assange'];Julian Paul Assange
;62;1296837480225722381;84588; Commentators and politicians in some corners have openly worried about a repeat. The current state of upheaval and mass protests could lead in time, they warn, to a renewed rise of political Islam. <q> The sources of the instability, the central source, does not stem from radical Islam, </q> Israeli Prime Minister <strong> Benjamin Netanyahu Fmr. P.M. </strong> said Monday.`` But it is true that in a situation of chaos, an organized Islamist entity can take over a country. It's happened in Iran and other places as well.;['Benjamin Netanyahu Fmr. P.M.'];Benjamin Netanyahu Fmr. P.M.
;63;1296108941157515779;84652;final round held at Facebook's headquarters.'' Facebook removed <strong> Mark Elliot Zuckerberg </strong>'s fan page on Wednesday without comment. How was <strong> Mark Elliot Zuckerberg </strong>'s page hacked? According to <strong> Graham Cluley </strong>, senior technology consultant at Sophos, <q> it's not clear if he was careless with his password, was phished, or sat down in a Starbucks and got sidejacked while using an unencrypted wireless network, but however it happened, it's left egg on his face just when Facebook wants to reassure users that it takes security and privacy seriously. </q> privacy was no longer a`` social norm.'' At least where <strong> Mark Elliot Zuckerberg </strong>'s Facebook page is concerned, that would already seem to be the case.`` Celebrity social networking pages are often managed by;['Graham Cluley', 'Mark Elliot Zuckerberg'];Graham Cluley
;64;1295163113128794652;47504;massive protests that were eventually crushed after the disputed reelection of Iranian President <strong> Mahmud Ahmadinedschad </strong> in June 2009. Still, he said it's a mistake to underestimate the power of the upheaval in Tunisia. <q> This gets planted in minds that it is possible. They believe it can happen in their country, </q> Alfaraj said.`` Leaders can not just dismiss that.'' <h5> Poorest rise up </h5> Friday's ouster of President <strong> Zinas Al Abidinas Ben Ali </strong> followed the country's largest protests in generations and weeks of escalating unrest;['Zinas Al Abidinas Ben Ali', 'Mahmud Ahmadinedschad'];
;65;1297111618152240128;91423;"- Israel's prime minister is warning that peace treaties can be canceled, hinting at his concern over the turmoil in Egypt over anti-government protests. <strong> Benjamin Netanyahu Fmr. P.M. </strong> said peace is not necessarily permanent. He said, <q> It can be unraveled from without; it can be unraveled from within. </q> He did not mention Egypt by name in a speech Monday before European Parliament members, but he has expressed concern about a takeover by Islamic radicals who might cancel the Israel-Egypt peace treaty signed in 1979.";['Benjamin Netanyahu Fmr. P.M.'];Benjamin Netanyahu Fmr. P.M.
;66;1296025815017973273;15378;"2008 Republican presidential nominee, praised <strong> President Barack Hussein Obama II </strong>'s remarks about the <strong> Gabrielle Dee ""Gabby"" Giffords </strong> tragedy.`` <strong> Joseph Isadore ""Joe"" Lieberman </strong> thought it was very appropriate, and <strong> Joseph Isadore ""Joe"" Lieberman </strong> appreciated it,'' <strong> U.S. Senator John McCain </strong> told The Arizona Republic after the address. <q> He came to Tucson( earlier this month). <strong> Joseph Isadore ""Joe"" Lieberman </strong> appreciate his words. And <strong> Joseph Isadore ""Joe"" Lieberman </strong> appreciate everybody wearing the remembrance ribbons. </q> <strong> U.S. Senator John McCain </strong> noted`` a definite change in the tone'' in the way lawmakers behaved at the speech but doubted that there would be any long-term change in the passion over issues. However, <strong> U.S. Senator John McCain </strong> said he believes";"['Gabrielle Dee ""Gabby"" Giffords', 'President Barack Hussein Obama II', 'U.S. Senator John McCain', 'Joseph Isadore ""Joe"" Lieberman']";U.S. Senator John McCain
;67;1295243499247496720;19299;shout out to <strong> Mark Elliot Zuckerberg </strong>, because he drove this whole movie, and you can only give a loud performance like the one I gave when you have a quiet anchor and a stoic character,'' <strong> Christian Charles Phillip Bale </strong> said. <q> I've played that one many times, and it never gets any notice. </q> <strong> Christian Charles Phillip Bale </strong> seems to be on the same awards track as his`` Batman'' co-star, the late <strong> Heathcliff Andrew Ledger </strong>, was two years ago, when he won supporting actor at the Globes for`` The Dark Knight;['Heathcliff Andrew Ledger', 'Mark Elliot Zuckerberg', 'Christian Charles Phillip Bale'];
;68;1296932620157466641;24497;have to give people a chance to create structures.'' She also recalled that East Germans didn't appreciate being given too much advice even by West Germans, and noted that the West has seen that <q> the simple export of what we call Westminster democracy... to all the regions of this world won't work. </q> Change in other regions has to take account of local cultures, but respect for human rights is`` the red line where we can not make compromises,'' she added. <strong> Angela Dorothea Kasner </strong> spoke alongside;['Angela Dorothea Kasner'];
;69;1295312433167198737;100419;Labor legislator who joined <strong> Prime Minister Ehud Barak </strong>'s new faction, told reporters the political move would send a signal to the Palestinians that they should return to peace talks rather than wait for <strong> Benjamin Netanyahu Fmr. P.M. </strong>'s government to fall. <q> The message we should be sending is one of stability, and that it is appropriate to negotiate with the current government, </q> <strong> Einat Wilf </strong> said. Two months ago, in what was widely described as an opening shot to oust <strong> Prime Minister Ehud Barak </strong> as Labor leader, one of the party's top legislators publicly described him as`` an idiot.;['Prime Minister Ehud Barak', 'Einat Wilf', 'Benjamin Netanyahu Fmr. P.M.'];Einat Wilf
;70;1295289219000475159;69285;his first Grand Slam title. The 23-year-old Scot, who plays <strong> Karol Beck </strong> at 0410 GMT, lost the 2010 final to <strong> The Mighty Federer </strong>, who had previously beaten him in the 2008 US Open final. <q> I went through some tough patches after the Aussie Open, </q> said <strong> Endijs Marijs </strong>.`` That was something I had to come back from and I learnt from so I think mentally I'm in a better place.'' The fifth seed spent most of December;['Karol Beck', 'Endijs Marijs', 'The Mighty Federer'];Endijs Marijs
;71;1296483554037306371;57158;Egypt in which every Egyptian lives in freedom and dignity.''`` We are on the right path, our strength is in our numbers,'' <strong> Mohamed Mustafa ElBaradei </strong> said in his first address on Tahrir square. <q> I ask you to be patient, change is coming. </q>`` We will sacrifice our soul and our blood for the nation,'' the angry crowd shouted.`` The people want to topple the president.'' A coalition of four opposition parties announced;['Mohamed Mustafa ElBaradei'];Mohamed Mustafa ElBaradei
;72;1296408556077250585;154318;unrest. Iran confronted its own mass uprising in 2009 in the wake of President <strong> Mahmud Ahmadinedschad </strong>'s contested election victory, but the state deployed brutal force to crush those protests, known as the Green movement. <q> Iran is celebrating popular behavior in Egypt that it continues to identify as` seditious' in Iran, </q> says <strong> Farideh Farhi </strong>, an Iran expert.`` The only way it can partially cover this basic contradiction is by spinning the Egyptian mobilization against dictatorship as the rise of Islamism ignited by the ideal of Iran's 1979 revolution;['Mahmud Ahmadinedschad', 'Farideh Farhi'];Farideh Farhi
;73;1295820254030490657;81306;''> The hardest life: surviving Cuban jail Boiled plantain-flavored water as soup. A greasy scoop of bland, yellowing beef fat as a side dish. A stew dubbed`` the giraffe'' because <q> you had to stretch your neck to find something in it. </q> A hairy heap of ground pig eyes, cheek, ears, and other unidentifiable parts served as a main course. 5 myths about <strong> Mark Elliot Zuckerberg </strong>, Facebook'' tooltipId=`` mi_tt5''> 5;['Mark Elliot Zuckerberg'];
;74;1297574838124026903;105887;Israel would remain intact, soothing fears in the Jewish state and Washington. Israeli Prime Minister <strong> Benjamin Netanyahu Fmr. P.M. </strong>, who had expressed concern the unrest could lead to an Islamist takeover, welcomed the statement. <q> The longstanding peace treaty between Israel and Egypt has greatly contributed to both countries and is the cornerstone for peace and stability in the entire Middle East, </q> said a statement from his office. The army was widely praised for allowing the massive demonstrations to unfold peacefully, but the protesters have demanded civilian government and said they will return to the streets in the;['Benjamin Netanyahu Fmr. P.M.'];
;75;1297445237043221008;38332;Top of the Wire <h4> Friday, Feb. 11, 2011 </h4> CAIRO-- Leading Egyptian democracy advocate <strong> Mohamed Mustafa ElBaradei </strong> has cheered President <strong> Muhammad Hosni  Mubarak </strong>'s resignation. <q> This is the greatest day of my life. The country has been liberated after decades of repression, </q> he told The Associated Press. AP- Following more than two weeks of protests, sources say Egyptian President <strong> Muhammad Hosni  Mubarak </strong> has resigned after 30 years in power.( AP Photo/ Egypt TV via APTN) EGYPT;['Muhammad Hosni  Mubarak', 'Mohamed Mustafa ElBaradei'];Mohamed Mustafa ElBaradei
;76;1295944098264700018;144149;to coin some ungodly hybrid of the words`` cowboy'' and`` bro.'' But I won't inflict that upon you, my gentle cowbros. best nerd fight The Social Network <q> I will cut you, man! I will cut you out of your stock options! </q> <strong> Mark Elliot Zuckerberg </strong>, founder of Facebook, is a loner too, and the fact that he goes on to build the world's largest social network provides much of the film's ironic pulp. Thankfully, for a film;['Mark Elliot Zuckerberg'];
;77;1295469394069730328;155884;offered anyone$ 100 to punch me in the nose. We received so many threats of violence from teabaggers that we started a file. And the day before Gabby was shot, I received a postcard saying, <q> You better get some personal protection. You could very well be getting your ass kicked soon. </q> Cause and effect. As Gabby put it,`` there are consequences.'' For the week( after the Arizona shootings), <strong> Sarah Louise Heath Palin </strong> was the fifth biggest mainstream newsmaker in the shooting coverage, registering as a;['Sarah Louise Heath Palin'];
;78;1295483114094470203;99281;"'',`` showComments'': true,`` duration'':'''',`` mediaQueryString'':`` http://static.washingtonpost.com/wp/swf/OmniPlayer.swf?id=01192011-14v&amp;flvURL=/media/2011/01/19/01192011-14v.m4v&amp;playAds=true&amp;adZone=wpni.video.ap&amp;canShare=true&amp;jsonURL=http%3A%2F%2Fmedia.washingtonpost.com%2Fmedia%2Fmeta%2F2011%2F01%2F19%2F01192011-14v.jsn''}{`` title'':`` <strong> Joseph Isadore ""Joe"" Lieberman </strong> to retire in 2012'',`` description'': <q> <strong> Joseph Isadore ""Joe"" Lieberman </strong>( Conn.), the 2000 Democratic vice presidential nominee who angered the party by backing Republican <strong> U.S. Senator John McCain </strong> for <strong> William Jefferson ""Bill"" Clinton </strong> in 2008, will retire and not seek a fifth term, Democratic officials said Tuesday. </q>,`` note'':'''',`` correction'':'''',`` stillURL'':`` http://media3.washingtonpost.com/wp-dyn/content/photo/2011/01/19/PH2011011902182.jpg'',`` emailLink'':`` http://www.washingtonpost.com/ac2/wp-dyn/emailalink?link=http://www.washingtonpost.com/wp-dyn/content/video/2011/01/19/VI2011011902126.html&amp;title=Sen. <strong> Joseph Isadore ""Joe"" Lieberman </strong> to retire in 2012& site= politics&";"['William Jefferson ""Bill"" Clinton', 'U.S. Senator John McCain', 'Joseph Isadore ""Joe"" Lieberman']";
;79;1295314788231800895;11920;people some of the time, and apparently, 35% whenever you need to. If they're this stupid, someone needs to tell them Election Day 2012 is on Wednesday, November 7th. <q> ABC has a new poll of its own out tonight showing that 78 percent approve of <strong> President Barack Hussein Obama II </strong>'s handling of the aftermath of the shooting compared to just 30 percent approval for <strong> Sarah Louise Heath Palin </strong>( versus 46 percent who disapprove). </q> Did they ask them if they saw her video? <blockquote> CNN poll: Majority of Dems, 35% overall think <strong> Sarah Louise Heath Palin </strong>'s crosshairs map is at least partly to blame for Arizona shootings </blockquote>;['President Barack Hussein Obama II', 'Sarah Louise Heath Palin'];
;80;1297044071095223838;104103;the two meetings on Sunday, Mr. Suleimen met with a group of younger people said to support <strong> Mohamed Mustafa ElBaradei </strong> as a candidate for president, as well as people said to represent the people in Tahrir Square. <q> Any young people talking with <strong> Omar Souleiman </strong> or anyone else in the government does not represent the youth groups that called for the Jan. 25 revolt, </q> said Ahmed Maher, another leader in what is now known as the Revolutionary Youth Movement. The meeting with the Muslim Brotherhood reflects a wider acknowledgment of its influence. On Thursday, <strong> Abdullah al II-lea al Iordaniei </strong>'s King <strong> Abdullah al II-lea al Iordaniei </strong>;['Abdullah al II-lea al Iordaniei', 'Omar Souleiman', 'Mohamed Mustafa ElBaradei'];
;81;1296940325113295419;131037;unlike those <strong> Ronaldas Vilsonas Reiganas </strong> talked of in the 1960s, only the economy of today is worse, from home foreclosures to high unemployment. She said <strong> Ronaldas Vilsonas Reiganas </strong> saw the danger of <strong> President Lyndon B. Johnson </strong>'s Great Society programs, and <q> he refused to sit down and be silent as our liberties were eroded by an out of control, centralized government that overtaxed and overreached in utter disregard of constitutional limits. </q>`` We could choose one direction or the other, socialism or freedom and free markets,'' <strong> Sarah Louise Heath Palin </strong> said. <strong> Sarah Louise Heath Palin </strong> received a roaring ovation, but <strong> Ronaldas Vilsonas Reiganas </strong>'s son told The Associated Press in;['Sarah Louise Heath Palin', 'President Lyndon B. Johnson', 'Ronaldas Vilsonas Reiganas'];
;82;1295142386018858046;28967;SLAM? Since February 2005, 21 of the 23 Grand Slam events have been won by <strong> Rafael Nadal i Parera </strong> or <strong> The Mighty Federer </strong>. And there is reason to believe it will come down to those two again. <q> I would pick <strong> Rafael Nadal i Parera </strong> at the Australian because I think he's much tougher to beat in longer matches, </q> <strong> John Patrick McEnroe, Jr. </strong> wrote on the ATP website.`` If he remains healthy then he's the guy I would pick for every major right now until proven otherwise. I would love to see a guy like <strong> Juan Martin </strong> del Potro;['Juan Martin', 'Rafael Nadal i Parera', 'John Patrick McEnroe, Jr.', 'The Mighty Federer'];John Patrick McEnroe, Jr.
;83;1295447145082477081;73666;"gezwungen gefÃ¼hlt, offiziell von einem ernsthaften Schaden fÃ¼r die amerikanischen Interessen zu sprechen, sagte ein Kongressmitarbeiter am Dienstag. <a href=""http://www.welt.de/multimedia/archive/01296/assange_pk_BM_Baye_1296121p.jpg"" title=""Julian Assange""> Foto: AFP </a> Die USA haben die Gefahr durch Wikileaks und GrÃ¼nder <strong> Julian Paul Assange </strong> absichtlich Ã¼bertrieben <q> Ich denke, sie wollten einfach die hÃ¤rteste Front aufbauen, die sie konnten. </q> Bei einer Unterrichtung des Kongresses Ende vergangenen Jahres hÃ¤tten Vertreter des AuÃ";['Julian Paul Assange'];
;84;1295516650003538986;30879;<strong> Willard Mitt Romney </strong>, who spent$ 44 million of his own money in 2008, to write another book and hit the road. After all, no one likes a permanent candidate, especially one with millions to spare. <q> I don't think he intended to run again, </q> insists <strong> Stuart P Stevens </strong>, a former strategist for <strong> Former President George W. Bush </strong> and <strong> U.S. Senator John McCain </strong> who has become one of <strong> Willard Mitt Romney </strong>'s top political advisers.`` If things were going well in the country, I really do not think he would be running;['U.S. Senator John McCain', 'Willard Mitt Romney', 'Former President George W. Bush', 'Stuart P Stevens'];Stuart P Stevens
;85;1295473360129286177;68719;the carpet for less than a minute and asked for some standard celebrity soundbites on what she thought of <strong> Sarah Louise Heath Palin </strong>'s chances for 2012. <strong> Queen of the Barbed One-liners </strong> responded as she is wont to do, with humor- and teeth. <q> I think <strong> Sarah Louise Heath Palin </strong> is an amazing woman, I think she represents everything a strong woman should be and[ beat] she should go someplace like to another planet and show them and get out of our face. </q> In the follow-up question about whether <strong> Sarah Louise Heath Palin </strong> was to blame for the shooting in Tucson( Joanie issued an unequivocal yes), she dismissed the mother of Mama Grizzlies as`` stupid and a threat.'' Less than;['Sarah Louise Heath Palin', 'Queen of the Barbed One-liners'];Queen of the Barbed One-liners
;86;1295026846099024964;86056;'s bio under his op-ed does not mention a few of his books, like Kosher Sex, Dating Secrets of the Ten Commandments, and The <strong> Michael Joseph Jackson </strong> Tapes: A Tragic Icon Reveals His Soul in Intimate Conversation. <q> <strong> Shmuley Boteach </strong> and <strong> Michael Joseph Jackson </strong> formed a short-lived charitable organization called Heal the Kids, and gradually they drifted apart, but <strong> Shmuley Boteach </strong> never stopped defending him against charges of anti-Semitism.... So he's skilled at defending famous people against charges of anti-Semitism. The <strong> Sarah Louise Heath Palin </strong> op-ed is a natural fit for him.... And when <strong> Shmuley Boteach </strong> isn't downplaying famous people's anti-Semitic remarks he's sending out press releases begging the media to interview him about <strong> Lindsay Dee Morgan Lohan </strong>. The guy really likes the limelight. </q> Paul Mirengoff insists at Power Line.`` <strong> Sarah Louise Heath Palin </strong> may be the first prominent politician to have charged others with a` blood libel' in the broad, modern sense of the term. This shows her, once;['Lindsay Dee Morgan Lohan', 'Sarah Louise Heath Palin', 'Michael Joseph Jackson', 'Shmuley Boteach'];
;87;1296482198098844680;45924;We are on the right path, our strength is in our numbers,'' <strong> Mohamed Mustafa ElBaradei </strong> said in his first address on Tahrir square.`` I ask you to be patient, change is coming.'' <q> We will sacrifice our soul and our blood for the nation, </q> the angry crowd shouted.`` The people want to topple the president.'' A coalition of four opposition parties announced late Sunday that they would not mandate <strong> Mohamed Mustafa ElBaradei </strong> to negotiate with the regime.;['Mohamed Mustafa ElBaradei'];Mohamed Mustafa ElBaradei
;88;1295645885196657191;132174;<strong> Julian Paul Assange </strong> isn't even in stores yet, and it's already been optioned into a feature film. Plans are under way for <strong> Rev. Dr. Andrew Fowler </strong>'s book, <q> The Most Dangerous Man in the World, </q> to be turned into a movie. The Australian reporter first interviewed <strong> Julian Paul Assange </strong> last May, and his investigative biography is due out later this year. Josephson Entertainment and <strong> Michelle Krumm </strong> Productions jointly optioned the movie rights.;['Julian Paul Assange', 'Rev. Dr. Andrew Fowler', 'Michelle Krumm'];
;89;1295706785115458057;2703;absolute venom and hatred displayed on these posts. The vast majority of these`` illegals'' simply want to share in the dream of the United States and provide for their families. Instead, they are rebutted with <q> Get out! I've got mine, so go away! </q> Pathetic. January 21, 2011 01:07 PM <strong> John Cornyn III </strong> takes his guidance from none other than Presidente Calderon.`` Part of the problem might have been revealed inadvertently by <strong> U.S. Senator John McCain </strong> <strong> John Cornyn III </strong> who is;['U.S. Senator John McCain', 'John Cornyn III'];
;90;1296742904227606576;165981;"a Republican effort in the Senate to repeal last year's sweeping health care overhaul law, but GOP leaders vowed to chisel away at <strong> President Barack Hussein Obama II </strong>'s signature legislative accomplishment,'' the <a href=""http://bit.ly/goip6z""> Boston Globe </a> writes. <q> By a party-line vote of 51 to 47, a Republican amendment to repeal the Affordable Care Act fell 13 votes short of the 60 needed to survive a procedural hurdle. </q>`` <strong> U.S. Senator John McCain </strong>( R-Ariz.) on Wednesday rejected the CBO's cost estimate of healthcare repeal as` garbage in, garbage out,''' <a href=""http://bit.ly/hUgmHq""> The Hill </a> writes.( OK, then.";['President Barack Hussein Obama II', 'U.S. Senator John McCain'];
;91;1297308065099434528;131589;people. Inside the closed-door meeting, several conservatives urged the leadership to produce$ 100 billion in savings, as the party promised in its`` Pledge to America'' campaign manifesto last fall. <q> I'd rather do$ 100 billion in across-the-board cuts than$ 58 billion in selected cuts, </q> <strong> Nancy Patricia D'Alesandro Pelosi </strong> <strong> Jeffrey Lane Flake </strong> of Arizona said afterward.`` I haven't looked at the specifics on the list, but the grand total isn't sufficient for me,'' added <strong> Nancy Patricia D'Alesandro Pelosi </strong> <strong> John Andrew Boehner </strong> Campbell of California.;"['John Andrew Boehner', ""Nancy Patricia D'Alesandro Pelosi"", 'Jeffrey Lane Flake']";Nancy Patricia D'Alesandro Pelosi
;92;1296228812205537319;161609;"hospital on Thursday with what were described as stomach pains, someone called his neighbors <strong> Paul S. Nassif, M.D., F.A.C.S. </strong> and his wife,`` Real Housewives of Beverly Hills'' star Adrienne Maloof-Nassif, according to <a href=""http://www.people.com/people/article/0,,20461587,00.html"" target=""_blank""> People.com </a>. <q> We did receive a call from <strong> Carlos Irwin Estevez </strong>'s house this morning, asking for medical assistance and advice... and immediately insisted the caller dial 911, </q> the couple said.`` <strong> Paul S. Nassif, M.D., F.A.C.S. </strong> also immediately called 911.'' A short time later, <strong> Carlos Irwin Estevez </strong> was rushed by ambulance to Cedars-Sinai Medical Center.`` As longtime friends, we are obviously very concerned about";['Paul S. Nassif, M.D., F.A.C.S.', 'Carlos Irwin Estevez'];Paul S. Nassif, M.D., F.A.C.S.
;93;1297693144167247984;109773;theory nonsense.`` He's not in Germany, and he's not on his way,'' <strong> Steffen Seibert </strong>, the chief spokesman for German Chancellor <strong> Angela Dorothea Kasner </strong>, said Sunday night, according to the Post. <q> This is a new round of rumors. There is absolutely no information that we have about this, and it would require him a visa to come here. So presumably we would know. </q> If <strong> Muhammad Hosni  Mubarak </strong> is indeed gravely ill, there is still uncertainty about how he would pay for medical treatment.`` Reply# 2 on: February 13, 2011, 08:34:25 PM'' http://www.examiner.com/foreign-policy-in-national/mubarak-life-death-state-germany-hospital <strong> Muhammad Hosni  Mubarak </strong> in life/death state in;['Steffen Seibert', 'Muhammad Hosni  Mubarak', 'Angela Dorothea Kasner'];Angela Dorothea Kasner
;94;1296264565173031435;13806;to <strong> Carlos Irwin Estevez </strong>'s decision to enter a rehabilitation center, CBS, Warner Bros.. Television and executive producer <strong> Charles Michael Levine </strong> are placing` Two and a Half Men' on production hiatus.'' The statement continues, <q> We are profoundly concerned for his health and well-being, and support his decision. </q> <strong> Carlos Irwin Estevez </strong>'s publicist told TMZ.com,`` He is most grateful to all who have expressed their concern.'' <strong> Carlos Irwin Estevez </strong> had a briefcase of cocaine delivered to his mansion during a 36-hour bender earlier this;['Charles Michael Levine', 'Carlos Irwin Estevez'];
;95;1295621120009781248;8856;energy plant, is the future site of GE's advanced battery manufacturing program. New battery technology has become something of an <strong> President Barack Hussein Obama II </strong> pet project as a symbol of innovation, clean energy and job creation. <q> This is a company that has brought jobs from overseas back into the United States, </q> <strong> President Barack Hussein Obama II </strong> spokesman <strong> Robert Lane Gibbs </strong> said. The <strong> U.S. Senator John McCain </strong> House said GE completed a$ 755 million agreement with India's Reliance Power Ltd. to supply gas and steam turbines for a power plant expansion in India. The deal;['President Barack Hussein Obama II', 'U.S. Senator John McCain', 'Robert Lane Gibbs'];Robert Lane Gibbs
;96;1296237581043434020;54495;it's spending Friday apologizing.( Warning: some of the following might be offensive to the easily offended. You know who you are, so act accordingly.) <strong> The Round Mound of Rebound </strong> baited <strong> Tracy Jamal Morgan </strong>. <q> <strong> Sarah Louise Heath Palin </strong>'s pretty good looking, isn't she? </q> <strong> Tracy Jamal Morgan </strong> immediately bit.`` Oh yeah. Absolutely. Let me tell you something about <strong> Sarah Louise Heath Palin </strong>. She's good masturbation material.'' A lot of women, maybe most, would find such;['Tracy Jamal Morgan', 'The Round Mound of Rebound', 'Sarah Louise Heath Palin'];Tracy Jamal Morgan
;97;1295707505020955167;94068;, indeed, will have that kind of security.'' Democrats have said they would be open to tweaking the new law but oppose wholesale changes. <strong> John Andrew Boehner </strong> seized on the comments to push for repeal. <q> If we agree that this law needs improving, why would we keep it on the books? </q> the <strong> Nancy Patricia D'Alesandro Pelosi </strong> said. Republicans will bring up a measure on Thursday to instruct House committees to draft replacement legislation. There is no timetable for that bill, however, and <strong> John Andrew Boehner </strong> said Wednesday he;"['John Andrew Boehner', ""Nancy Patricia D'Alesandro Pelosi""]";Nancy Patricia D'Alesandro Pelosi
;98;1296113116041385996;101693;"Jan. 8 shooting rampage near Tucson and honoring Rep. <strong> Gabrielle Dee ""Gabby"" Giffords </strong>, <strong> U.S. Senator John McCain </strong> District Judge <strong> John McCarthy Roll </strong> and other victims and heroes of the massacre. Sens. <strong> U.S. Senator John McCain </strong> and <strong> Jon Llewellyn Kyl </strong> introduced the resolution. It passed 97-0. <q> We all know that <strong> Gabrielle Dee ""Gabby"" Giffords </strong> was the target of the attack and was critically injured, and we, overnight, have received extremely good news in that her condition has been upgraded from critical to good, </q> <strong> U.S. Senator John McCain </strong>, R-Ariz., said on the Senate floor.`` That's incredible news and is heartening to all of us.'' <strong> Gabrielle Dee ""Gabby"" Giffords </strong>, a three-term Arizona Democrat who was hosting a constituent event at a";"['Gabrielle Dee ""Gabby"" Giffords', 'Jon Llewellyn Kyl', 'U.S. Senator John McCain', 'John McCarthy Roll']";U.S. Senator John McCain
;99;1296832336180551702;82248;the geeks and faux-intelligensia of the anglosphere... <strong> Julian Paul Assange </strong> should have made sure <strong> Bradley Edward Manning </strong>, the leaker of all those documents, was in a very safe country before he released those documents on the Internet. <q> Amateurtheatrics In answer to MickGJ point about recent under cover police there is a confusion between intelligence and security services. While both the Met and Mi5 have domestic roles Mi6 is not ment to operate domestically. The same is true in the US for CIA </q> <blockquote> Because this tension between governments and leakers is so important, and because WikiLeaks so dramatically helps leakers, it isn't just a new entrant in the existing media landscape. </blockquote> Fatalistfornow 4 February;['Bradley Edward Manning', 'Julian Paul Assange'];
;100;1294966658056983591;19407;"and I probably part ways on the matter of considering a ban on extended magazines, but I see a lot of wisdom, nonetheless, in his'' <a href=""http://www.economist.com/blogs/democracyinamerica/2011/01/shooting_gabrielle_giffords""> case for doing nothing </a>'': <q> We may badly want to do something, but we will be better off in the end if we hug our jerking knees and find our cool. The ordinary operation of the criminal-justice system is enough for now. If you've got to do something, why not tell a pundit or politician yammering on about background checks or forced institutionalisation to please shut up, since it's just too soon for reason to prevail. </q> Act in haste, repent in a swamp of stupid, unenforceable laws that bring a ton of unintended consequences. When House Majority Leader <strong> John Andrew Boehner </strong> suspended legislative activity in the House of Representatives following the mass murder";['John Andrew Boehner'];
;101;1296234396153845762;51333;the 45-year-old actor, his former wife <strong> Denise Lee Richards </strong>- the mother of his daughters Sam, six, and five-year-old Lola- has been keeping an emotional vigil at his bedside. An eyewitness told U.S. Magazine: <q> She had her hair down and looked very pretty, but she wasn't wearing makeup and she looked tired and drawn. Her eyes look like she's been crying. </q> <strong> Carlos Irwin Estevez </strong> allegedly had a`` briefcase full of cocaine'' delivered to his house just hours before being rushed into hospital at 7am yesterday morning. In October last year, <strong> Carlos Irwin Estevez </strong>- who is currently;['Denise Lee Richards', 'Carlos Irwin Estevez'];
;102;1297713646141344801;101275;Yeah, yeah, but that kind of blew up in my face. Like an exploding crack pipe.'' Now, however, <strong> Carlos Irwin Estevez </strong> says that he's`` 100 percent'' clean. <q> I feel great, man. I feel great. I am here and ready. I'm actually hungry. </q> Rather than just some bizarre non sequitur, the hunger, <strong> Carlos Irwin Estevez </strong> noted, is something of a new feeling for him these days.`` You get into a little bit, I don't want to;['Carlos Irwin Estevez'];Carlos Irwin Estevez
